store_id,store_name,address_line,country,province,city,location,postal_code,latitude,longitude,phone,email,facebook_url,url,full_search_address
11,Food Lover's Market Fourways Mall,"Fourways Mall, Cedar Road, Witkoppen, Sandton, Gauteng, 2068, South Africa",South Africa,Gauteng,Sandton,Fourways Mall,2068,-26.0682406,28.0479844,011 465 8051,fourways@fnv.co.za,https://www.facebook.com/FoodLoversMarketFourwaysMall,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-fourways-mall/,"Sandton, Gauteng, South Africa"
12,Food Lover's Market Gateway Corner,"Shop 19, Gateway Corner, Sarel Baard Crescent, Rooihuiskraal, Centurion, Gauteng, 0154, South Africa",South Africa,Gauteng,Centurion,Gateway Corner,154,-25.836389,28.180278,012 661 4887,gateway@fnv.co.za,https://www.facebook.com/FoodLoversMarketGateway/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-gateway-corner/,"Centurion, Gauteng, South Africa"
13,Food Lover's Market Harvest Place,"Harvest Place Shopping Centre, Monument Road, Glen Marais, Kempton Park, Gauteng, 1619, South Africa",South Africa,Gauteng,Kempton Park,Harvest Place,1619,-26.0964372,28.2336325,010 900 5189,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketHarvestPlace/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-harvest-place/,"Kempton Park, Gauteng, South Africa"
14,Food Lover's Market Hillfox,"Hillfox Value Centre, Hendrik Potgieter Road, Weltevredenpark, Roodepoort, Gauteng, 1709, South Africa",South Africa,Gauteng,Roodepoort,Hillfox,1709,-26.1563889,27.8858333,011 675 4160,admin.hillfox@flm.co.za,https://www.facebook.com/FoodLoversMarketHermanus,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-hillfox/,"Roodepoort, Gauteng, South Africa"
15,Food Lover's Market Jabulani,"Shop 1D, Jabulani Mall, Bolani Road, Jabulani, Soweto, Gauteng, 1868, South Africa",South Africa,Gauteng,Soweto,Jabulani,1868,-26.2227778,27.89,011 930 6476,jabulani@fnv.co.za,https://www.facebook.com/FoodLoversMarketJabulani,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-jabulani/,"Soweto, Gauteng, South Africa"
16,Food Lover's Market Lenasia,"Nirvana Drive, Ext. 9, Lenasia, Gauteng, 1820, South Africa",South Africa,Gauteng,Lenasia,Lenasia,1820,-26.3194831,27.8246367,011 852 1301,lenasia@fnv.co.za,https://www.facebook.com/FoodLoversMarketLenasia/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-lenasia/,"Lenasia, Gauteng, South Africa"
17,Food Lover's Market Lynnwood Lane,"Lynnwood Lane Retail Centre, The Hwy Street, Equestria, Pretoria, Gauteng, 0184, South Africa",South Africa,Gauteng,Pretoria,Lynnwood Lane,184,-25.7459277,28.1879101,012 111 1999,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketLynnwoodLane,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-lynnwood-lane/,"Pretoria, Gauteng, South Africa"
18,Food Lover's Market Menlyn Mall,"Shop G197, Menlyn Park Shopping Centre, Atterbury Road, Garston AH, Pretoria, Gauteng, 0063, South Africa",South Africa,Gauteng,Pretoria,Menlyn Mall,63,-25.7459277,28.1879101,012 348 3760,menlyn@fnv.co.za,https://www.facebook.com/FoodLoversMarketMenlynMall,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-menlyn-mall/,"Pretoria, Gauteng, South Africa"
19,Food Lover's Market Montana,"Woestyn Close, Montana Tuine, Montana Tuine, Pretoria, Gauteng, 0182, South Africa",South Africa,Gauteng,Pretoria,Montana,182,-25.7459277,28.1879101,012 5489 308,montana@fnv.co.za,https://www.facebook.com/FoodLoversMarketMontana,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-montana/,"Pretoria, Gauteng, South Africa"
20,Food Lover's Market Morning Glen,"Bowling Avenue, Gallo Manor, Sandton, Gauteng, 2052, South Africa",South Africa,Gauteng,Sandton,Morning Glen,2052,-26.0682406,28.0479844,011 035 6910,care@fnv.co.za,https://business.facebook.com/FoodLoversMarketMorningGlenMall/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-morning-glen/,"Sandton, Gauteng, South Africa"
21,Food Lover's Market New Market,"Shop 8, Newmarket Mall, Voortrekker Rd, Newmarket Park, Alberton, Gauteng, 1449, South Africa",South Africa,Gauteng,Alberton,New Market,1449,-26.2669894,28.1220546,011 907 0191,alberton@fnv.co.za,https://business.facebook.com/FoodLoversMarketNewMarketMall/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-newmarket/,"Alberton, Gauteng, South Africa"
22,Food Lover's Market Nkomo Village,"Nkomo Village Shopping Centre, Tlou Street, Atteridgeville, Pretoria, Gauteng, 0006, South Africa",South Africa,Gauteng,Pretoria,Nkomo Village,6,-25.7459277,28.1879101,087 809 4620,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketNkomoVillage/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-nkomo-village/,"Pretoria, Gauteng, South Africa"
23,Food Lover's Market Park Meadows,"Park Meadows Shopping Centre, Cumberland Road, Kensington, Johannesburg, Gauteng, 2101, South Africa",South Africa,Gauteng,Johannesburg,Park Meadows,2101,-26.205,28.049722,011 615 3819,bruma@fnv.co.za,https://business.facebook.com/FoodLoversMarketParkMeadows/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-park-meadows/,"Johannesburg, Gauteng, South Africa"
24,Food Lover's Market Stoneridge Centre,"Shop U78, Stoneridge Centre, Modderfontein Road, Modderfontein, Gauteng, 1609, South Africa",South Africa,Gauteng,Modderfontein,Stoneridge Centre,1609,-26.6760497,28.3783777,011 452 2835,fvc.greenstone@gmail.com,https://www.facebook.com/FoodLoversMarketStoneridgeCentre,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-stoneridge-centre/,"Modderfontein, Gauteng, South Africa"
25,Food Lover's Market Sunward Park,"Kingfisher Avenue, Leeuwpoort 113-Ir, Boksburg, Gauteng, 1470, South Africa",South Africa,Gauteng,Boksburg,Sunward Park,1470,-26.2124639,28.2617471,011 913 3407,flmsunwardpark@fnv.co.za,https://www.facebook.com/FoodLoversMarketSunwardPark,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-sunward-park/,"Boksburg, Gauteng, South Africa"
26,Food Lover's Market Vanderbijl Park,"Louis Trichardt Boulevard, Vanderbijlpark S. E. 1, Vanderbijlpark, Gauteng, 1911, South Africa",South Africa,Gauteng,Vanderbijlpark,Vanderbijl Park,1911,-26.706891,27.836271,016 933 3311,vanderbijl@fnv.co.za,https://www.facebook.com/FoodLoversMarketVanderbijlPark,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-vanderbijl-park/,"Vanderbijlpark, Gauteng, South Africa"
27,Food Lover's Market Waterfall Ridge,"Shop 1, Waterfall Ridge Shopping Centre, 8 Ridge Road, Vorna Valley, Midrand, Gauteng, 1686, South Africa",South Africa,Gauteng,Midrand,Waterfall Ridge,1686,-25.999262,28.125912,010 446 0025,Waterfallridge@fnv.co.za,https://business.facebook.com/FoodLoversWaterfallRidge/,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-waterfall-ridge/,"Midrand, Gauteng, South Africa"
28,Food Lover's Market Westgate,"Westgate Shopping Centre, Ontdekkers Road, Horizon View, Roodepoort, Gauteng, 1724, South Africa",South Africa,Gauteng,Roodepoort,Westgate,1724,-26.1563889,27.8858333,011 768 0351,vieramarket@fnv.co.za,https://www.facebook.com/FoodLoversMarketWestgate,https://foodloversmarket.co.za/stores/gauteng/food-lovers-market-westgate/,"Roodepoort, Gauteng, South Africa"
29,Food Lover's Market Arbour Crossing,"Shop 38, Arbour Crossing Retail Centre, Arbour Road, Umbogintwini, eManzimtoti, KwaZulu-Natal, 4126, South Africa",South Africa,KwaZulu-Natal,Durban,Arbour Crossing,4126,-29.861825,31.009909,031 904 2228,arborcrossing@fnv.co.za,https://www.facebook.com/FoodLoversMarketArbourCrossing,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-arbour-crossing/,"Durban, KwaZulu-Natal, South Africa"
30,Food Lover's Market Ballito,"Shop 1, The Circle Business Park, Douglas Crowe Drive, Ballito, Durban, KwaZulu-Natal, 4420, South Africa",South Africa,KwaZulu-Natal,Durban,Ballito,4420,-29.861825,31.009909,032 946 3762,ballito@fnv.co.za,https://www.facebook.com/FoodLoversMarketBallito,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-ballito/,"Durban, KwaZulu-Natal, South Africa"
31,Food Lover's Market Cornubia,"Food Lover's Village, Allamanda Road, Flanders, Blackburn, KwaZulu-Natal, 4319, South Africa",South Africa,KwaZulu-Natal,Blackburn,Cornubia,4319,-29.7735728,31.0347435,0315628065,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketCornubia/,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-cornubia/,"Blackburn, KwaZulu-Natal, South Africa"
32,Food Lover's Market Fiveways Mall,"Fiveways Mall, Rex Henderson Road, Fairview, Empangeni, KwaZulu-Natal, 3880, South Africa",South Africa,KwaZulu-Natal,Empangeni,Fiveways Mall,3880,-28.746111,31.897222,035 772 2268,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketFivewaysMall,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-fiveways-mall/,"Empangeni, KwaZulu-Natal, South Africa"
33,Food Lover's Market Malvern,"Sarnia Road, Malvern, Queensburgh, KwaZulu-Natal, 4055, South Africa",South Africa,KwaZulu-Natal,Queensburgh,Malvern,4055,-29.863889,30.914722,031 464 4555,malvern@fnv.co.za,https://www.facebook.com/FoodLoversMarketMalvern,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-malvern/,"Queensburgh, KwaZulu-Natal, South Africa"
34,Food Lover's Market Musgrave,"Musgrave Road, Musgrave, Berea, KwaZulu-Natal, 4001, South Africa",South Africa,KwaZulu-Natal,Berea,Musgrave,4001,-29.8505556,31.0019444,031 035 1721,care@fnv.co.za,https://www.facebook.com/foodloversmarketmusgrave/,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-musgrave/,"Berea, KwaZulu-Natal, South Africa"
35,Food Lover's Market Richard's Bay,"Shop L84, Boardwalk Inkwazi Shopping Centre, Mark Strasse, Richards Bay Central, Richards Bay, KwaZulu-Natal, 3900, South Africa",South Africa,KwaZulu-Natal,Richards Bay,Richard's Bay,3900,-28.7707857,32.0577775,035 789 7345,care@fnv.co.za,https://business.facebook.com/FoodLoversMarketRichardsBay/,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-richards-bay/,"Richards Bay, KwaZulu-Natal, South Africa"
36,Food Lover's Market South Coast Mall (Shelly Beach),"Southcoast Mall, Izotsha Road, Shelly Beach, Margate, KwaZulu-Natal, 4265, South Africa",South Africa,KwaZulu-Natal,Margate,South Coast Mall (Shelly Beach),4265,-30.864167,30.368611,039 315 6384,shelleybeach@fnv.co.za,https://www.facebook.com/FoodLoversMarketSouthCoastMall,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-south-coast-mall-margate/,"Margate, KwaZulu-Natal, South Africa"
37,Food Lover's Market Springfield,"Sprinfeild Retail Centre, Ilala Avenue, Umgeni Business Park, Durban, KwaZulu-Natal, 4001, South Africa",South Africa,KwaZulu-Natal,Durban,Springfield,4001,-29.861825,31.009909,031 263 0487,springfieldpark@fnv.co.za,https://business.facebook.com/FoodLoversMarketSpringfield/,https://foodloversmarket.co.za/stores/kwazulu-natal/food-lovers-market-springfield/,"Durban, KwaZulu-Natal, South Africa"
38,Food Lover's Market The Farmyard,"The Farmyard, Buzworx Avenue, Polokwane, Limpopo, 0700, South Africa",South Africa,Limpopo,Polokwane,The Farmyard,700,-23.9058333,29.4613889,015 590 5000,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketTheFarmyard/,https://foodloversmarket.co.za/stores/limpopo/food-lovers-market-the-farmyard/,"Polokwane, Limpopo, South Africa"
39,Food Lover's Market Tzaneen Corner,"Wolkberg Drive, Aqua Park, Tzaneen, 0850",South Africa,Limpopo,Tzaneen,Tzaneen Corner,850,-23.8319444,30.1611111,015 307 1288,tzaneen@fnv.co.za,https://www.facebook.com/FoodLoversMarketTzaneen,https://foodloversmarket.co.za/stores/limpopo/food-lovers-market-tzaneen-corner/,"Tzaneen, Limpopo, South Africa"
40,Food Lover's Market Middelburg,"Keiskamma Street, Aerorand, Middelburg, Mpumalanga, 1055, South Africa",South Africa,Mpumalanga,Middelburg,Middelburg,1055,-25.7678012,29.4555234,013 301 0986,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketMiddelburg,https://foodloversmarket.co.za/stores/mpumalanga/food-lovers-market-middelburg/,"Middelburg, Mpumalanga, South Africa"
41,Food Lover's Market Nelspruit,"Andrew Street, Mbombela, Mpumalanga, 1201, South Africa",South Africa,Mpumalanga,Mbombela,Nelspruit,1201,-25.4729094,30.9772719,013 752 3791,nelspruitadmin@fnv.co.za,https://www.facebook.com/FoodLoversMarketNelspruit,https://foodloversmarket.co.za/stores/mpumalanga/food-lovers-market-nelspruit/,"Mbombela, Mpumalanga, South Africa"
42,Food Lover's Market Secunda Mall,"Shop UG36, Secunda Mall, Kuschke Street, Secunda, Mpumalanga, 2302, South Africa",South Africa,Mpumalanga,Secunda,Secunda Mall,2302,-26.516111,29.202778,017 200 4289,secunda@fnv.co.za,https://www.facebook.com/FoodLoversMarketSecundaMall,https://foodloversmarket.co.za/stores/mpumalanga/food-lovers-market-secunda-mall/,"Secunda, Mpumalanga, South Africa"
43,Food Lover's Market Witbank,"Jeanette Street, Zeekoewater 311-Js, Emalahleni, Mpumalanga, 1034, South Africa",South Africa,Mpumalanga,Emalahleni,Witbank,1034,-25.8762409,29.2099962,013 656 1941,witbank@fnv.co.za,https://www.facebook.com/FoodLoversMarketWitbank,https://foodloversmarket.co.za/stores/mpumalanga/food-lovers-market-witbank/,"Emalahleni, Mpumalanga, South Africa"
44,Food Lover's Market Hilltop Village,"Hilltop Village, Ombika Street, Windhoek, Namibia",Namibia,,Windhoek,Hilltop Village,,34.220389,70.3800314,414 700,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketHilltopVillage/,https://foodloversmarket.co.za/stores/namibia/food-lovers-market-hilltop-village/,
45,Food Lover's Market Maerua Mall,"Shop 51 Maerua Mall, Windhoek, Namibia 9100",Namibia,,Windhoek,Maerua Mall,,34.220389,70.3800314,428 800,mvdb@fvc.na,https://business.facebook.com/FLM.MaeruaMall/,https://foodloversmarket.co.za/stores/namibia/food-lovers-market-maerua-mall/,
46,Food Lover's Market Swakopmund,"Mandume Ya Ndemufayo Street, Swakopmund, Namibia",Namibia,,Swakopmund,Swakopmund,,34.220389,70.3800314,414 400,swakop@fvc.na,https://business.facebook.com/FoodLoversMarketSwakopmund/,https://foodloversmarket.co.za/stores/namibia/food-lovers-market-swakopmund/,
47,Food Lover's Market Walvis Bay,"69 Moses Garoeb Str, Walvis Bay, Namibia, PO Box 86252, Eros, Namibia",Namibia,,Eros,Walvis Bay,,34.220389,70.3800314,207 152,walvis@fvc.na,https://business.facebook.com/FoodLoversMarketWalvisBay/,https://foodloversmarket.co.za/stores/namibia/food-lovers-market-walvis-bay/,
48,Food Lover's Market Wernhil,"Wernhil Shopping Centre, Wecke Street, Windhoek, 10005",Namibia,,Windhoek,Wernhil,,34.220389,70.3800314,401 702,care@fnv.co.za,https://business.facebook.com/FoodLoversMarketWernhil/,https://foodloversmarket.co.za/stores/namibia/food-lovers-market-wernhil/,
49,Food Lover's Market Klerksdorp,"Central Avenue, Irenepark, Klerksdorp, North West, 2571, South Africa",South Africa,North West,Klerksdorp,Klerksdorp,2571,-26.8625383,26.6656814,018 462 3706,klerksdorpffs@fnv.co.za,https://business.facebook.com/FoodLoversMarketKlerksdorp/,https://foodloversmarket.co.za/stores/north-west/food-lovers-market-klerksdorp/,"Klerksdorp, North West, South Africa"
50,Food Lover's Market Rustenburg Cornerstone,"Shop 15, Cornerstone Lifestyle Centre, Faisal Mafa Drive, Cashan, Rustenburg, North West, 2999, South Africa",South Africa,North West,Rustenburg,Rustenburg Cornerstone,2999,-25.665655,27.241448,014 880 0460,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketCornerstoneLifestyleCentre/,https://foodloversmarket.co.za/stores/north-west/food-lovers-market-rustenburg-cornerstone/,"Rustenburg, North West, South Africa"
51,Food Lover's Market Kathu,"Shop 29, Kathu Village Mall, Hendrik Van Eck Road, Kathu, Northern Cape, 8446, South Africa",South Africa,Northern Cape,Kathu,Kathu,8446,-27.695833,23.05,053 880 0420,kathu@fnv.co.za,https://www.facebook.com/FoodLoversMarketKathu/,https://foodloversmarket.co.za/stores/northern-cape/food-lovers-market-kathu/,"Kathu, Northern Cape, South Africa"
52,Food Lover's Market Kimberley,"Diamond Pavilion Mall, Cruikshank Street, Monument Heights, Kimberley, Northern Cape, 8301, South Africa",South Africa,Northern Cape,Kimberley,Kimberley,8301,-28.7383012,24.7642251,053 832 9965,kimberley@fnv.co.za,https://www.facebook.com/FoodLoversMarketKimberley,https://foodloversmarket.co.za/stores/northern-cape/food-lovers-market-kimberley/,"Kimberley, Northern Cape, South Africa"
53,Food Lover's Market Upington,"Basson Street, Upington, Northern Cape, 8800, South Africa",South Africa,Northern Cape,Upington,Upington,8800,-28.456325,21.241867,054 338 6600,manager@fvcupt.co.za,https://www.facebook.com/Foodloversmarketupington,https://foodloversmarket.co.za/stores/northern-cape/food-lovers-market-upington/,"Upington, Northern Cape, South Africa"
54,Food Lover's Market Garden Route Mall,"Garden Route Mall, Park Road, George, Western Cape, 6529, South Africa",South Africa,Western Cape,George,Garden Route Mall,6529,-33.9597212,22.4587148,044 887 0282,georgeflm@fnv.co.za,https://www.facebook.com/FoodLoversMarketGardenRouteMall,https://foodloversmarket.co.za/stores/south-western-districts/food-lovers-market-garden-route-mall/,"George, Western Cape, South Africa"
55,Food Lover's Market Knysna,"Union Street, Knysna Central, Knysna, Western Cape, 6571, South Africa",South Africa,Western Cape,Knysna,Knysna,6571,-34.035734,23.048485,044 382 2204,knysna@fnv.co.za,https://www.facebook.com/FoodLoversMarketKnysna,https://foodloversmarket.co.za/stores/south-western-districts/food-lovers-market-knysna/,"Knysna, Western Cape, South Africa"
56,Food Lover's Market Mossel Bay,"Melkhout Street, Mossel Bay, Western Cape, 6500, South Africa",South Africa,Western Cape,Mossel Bay,Mossel Bay,6500,-34.1832022,22.1536248,044 693 0545,mosselbay@fnv.co.za,https://www.facebook.com/FoodLoversMarketMosselBay,https://foodloversmarket.co.za/stores/south-western-districts/food-lovers-market-mossel-bay/,"Mossel Bay, Western Cape, South Africa"
57,Food Lover's Market Oudtshoorn,"Shop 1, Klein Karoo Markt, Rademeyer St, Oudtshoorn, 6620",South Africa,Western Cape,Oudtshoorn,Oudtshoorn,6620,-33.5902954,22.204206,044 272 7378,oudtshoorn@fnv.co.za,https://business.facebook.com/FoodLoversMarketOudtshoorn/,https://foodloversmarket.co.za/stores/south-western-districts/food-lovers-market-oudtshoorn/,"Oudtshoorn, Western Cape, South Africa"
58,Food Lover's Market Access Park,"Shop A10, Access Park, Race Course Road, Claremont, Cape Town, Western Cape, 7708, South Africa",South Africa,Western Cape,Cape Town,Access Park,7708,-33.9288301,18.4172197,021 671 4414,accesspark@fnv.co.za,https://www.facebook.com/FoodLoversMarketAccessPark,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-access-park/,"Cape Town, Western Cape, South Africa"
59,Food Lover's Market Bothasig,"Link Road, Bothasig, Cape Town, Western Cape, 7441, South Africa",South Africa,Western Cape,Cape Town,Bothasig,7441,-33.9288301,18.4172197,021 203 0303,care@fnv.co.za,https://www.facebook.com/foodloversmarketbothasig,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-bothasig/,"Cape Town, Western Cape, South Africa"
60,Food Lover's Market Brackenfell,"Shop 52, Brackenfell Retail Park, Old Paarl Road, Brackenfell, Cape Town, Western Cape, 7560, South Africa",South Africa,Western Cape,Cape Town,Brackenfell,7560,-33.9288301,18.4172197,021 981 8884,brackenfell@fnv.co.za,https://www.facebook.com/FoodLoversMarketBrackenfell,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-brackenfell/,"Cape Town, Western Cape, South Africa"
61,Food Lover's Market Hartenbos,"Shop 31, Garden Walk Mall, R102, Mossel Bay, Western Cape, 6520, South Africa",South Africa,Western Cape,Mossel Bay,Hartenbos,6520,-34.1832022,22.1536248,0442204427,care@fnv.co.za,N/A,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-hartenbos/,"Mossel Bay, Western Cape, South Africa"
62,Food Lover's Market Hermanus,"Whale Coast Mall, R43, Sandbaai, Western Cape, 7200, South Africa",South Africa,Western Cape,Sandbaai,Hermanus,7200,-34.4238889,19.1969444,028 312 4475,hermanus@fnv.co.za,https://www.facebook.com/FoodLoversMarketHermanus,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-hermanus/,"Sandbaai, Western Cape, South Africa"
63,Food Lover's Market Long Beach Mall,"Shop G60, Longbeach Mall, Longboat Street, Sunnydale, Cape Town, Western Cape, 7975, South Africa",South Africa,Western Cape,Cape Town,Long Beach Mall,7975,-33.9288301,18.4172197,021 785 7060,longbeach@fnv.co.za,https://www.facebook.com/FoodLoversMarketLongBeachMall,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-long-beach-mall/,"Cape Town, Western Cape, South Africa"
64,Food Lover's Market Malmesbury,"Shop 29, De Zwartland Werf Retail Centre, Piketberg Street, Malmesbury, Western Cape, 7300, South Africa",South Africa,Western Cape,Malmesbury,Malmesbury,7300,-33.460278,18.723611,021 207 2500,Admin.malmesbury@flm.co.za,https://www.facebook.com/FoodLoversMarketMalmesbury/,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-malmesbury/,"Malmesbury, Western Cape, South Africa"
65,Food Lover's Market Mountain Mill,"Mountain Mill Shopping Centre, Mountain Mill Drive, Hospital Hill, Worcester, Western Cape, 6850, South Africa",South Africa,Western Cape,Worcester,Mountain Mill,6850,-33.646238,19.445927,031 941 4853,care@fnv.co.za,https://www.facebook.com/foodloversmarketworcester/,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-mountain-mill/,"Worcester, Western Cape, South Africa"
66,Food Lover's Market N1 City,"Shop 77, N1 City Value Centre, Solly Smiedt Street, N1 City, Cape Town, Western Cape, 7460, South Africa",South Africa,Western Cape,Cape Town,N1 City,7460,-33.9288301,18.4172197,021 595 4558,N1city@fnv.co.za,https://business.facebook.com/FoodLoversMarketN1City/,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-n1city/,"Cape Town, Western Cape, South Africa"
67,Food Lover's Market Ottery,"Shop 53, Ottery Hyper, Ottery Road, Ottery, Cape Town, Western Cape, 7808, South Africa",South Africa,Western Cape,Cape Town,Ottery,7808,-33.9288301,18.4172197,021 903 0197,care@fnv.co.za,N/A,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-ottery/,"Cape Town, Western Cape, South Africa"
68,Food Lover's Market Paarl,"Cecilia Street, Southern Paarl, Paarl, Western Cape, 7624, South Africa",South Africa,Western Cape,Paarl,Paarl,7624,-33.7310282,18.9642117,021 217 7777,care@fnv.co.za,https://www.facebook.com/FoodLoversMarketPaarl/,https://foodloversmarket.co.za/stores/western-cape/food-lovers-market-paarl/,"Paarl, Western Cape, South Africa"
